index	filename	sha256	verdict	slot_guess	proposed_art_id	reason
27	ChatGPT Image Jul 10, 2026, 11_03_56 PM (7).png	12c023574a574fbb3c1cdf66aa1c1889aa34316370f3edf76b00a37c96e37e89	reject	shield		Reject: solar/radial target treatment, toy-like construction, or overbuilt medieval hardware prevents base-item use.
28	ChatGPT Image Jul 10, 2026, 11_03_56 PM (8).png	dc35781d845f86f21d11d3d2ad8cb42c451b9efde5bd17219a658885d6bcbf6d	reject	boots		Reject: developed lasted footwear, built sole/heel, standardized paneling, or plate treatment reads medieval or modern.
29	ChatGPT Image Jul 10, 2026, 11_04_16 PM (1).png	85c33428229e94fa7e4ea4ec145dd2156a2b2866e2791fff711aebd47b9bf232	reject	short_blade		Reject: medieval crossguard, fantasy machining, or post-ancient weapon silhouette.
30	ChatGPT Image Jul 10, 2026, 11_04_16 PM (10).png	894e13d513a4b5987dcc0304507e0aee18d3014aae26ca0b08bb2b3f540aec27	reject	boots_or_greaves		Reject: developed lasted footwear, built sole/heel, standardized paneling, or plate treatment reads medieval or modern.
31	ChatGPT Image Jul 10, 2026, 11_04_16 PM (2).png	f3c3fa73a2c2c17ad2a1235bf10df7e88a6239757b2351bf27cb16b89d5d17ac	reject	carry_or_scabbard		Reject: modern case/luggage or Gothic/fantasy apparatus lacks a clean ancient auxiliary construction.
32	ChatGPT Image Jul 10, 2026, 11_04_16 PM (3).png	353472dbf75ee481866c36f948bd0e7c67f44638ade2b265d632c8491563cec9	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
33	ChatGPT Image Jul 10, 2026, 11_04_16 PM (4).png	bd8c6cad00288322944d15eb60568313d1dce35a781042a09fd69b223a9f6b0c	reject	amulet		Reject: radial/solar face, excessive danglers, collar scale, or fantasy jewelry treatment fails compact amulet hygiene.
34	ChatGPT Image Jul 10, 2026, 11_04_16 PM (5).png	c647d6de4701725cc8883428a2628ff1d8646a57f1b4dec0fcd802127363f10e	reject	body_armor		Reject: costume/medieval silhouette, anatomical shaping, mixed outfit pieces, or implausible armor assembly prevents direct use.
35	ChatGPT Image Jul 10, 2026, 11_04_16 PM (6).png	9cfd36d820288d25b07f41b99a4c97eaba84d388eaf0ecb0bc4d41d6e986e83d	promote	outer_layer	salvage_outer_035	Promote: continuous dark pelt mantle has a full vertical fall with no shingled tabs.
36	ChatGPT Image Jul 10, 2026, 11_04_16 PM (7).png	de229de785709cdad892894051b6ee1e2ee49fe418ea1dc0afeaf1de19f9c004	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
37	ChatGPT Image Jul 10, 2026, 11_04_16 PM (8).png	a01dbdb20aaed6ebd7a27732d15e76517a2000e8cacd1e9fef8358b26c1a15d9	promote	ring	salvage_ring_037	Promote: compact geometric bronze ring keeps most surface plain and avoids celestial motifs.
38	ChatGPT Image Jul 10, 2026, 11_04_16 PM (9).png	1eac112d297056e6640be335353096736db930510357bf9c1d605503cae5480e	reject	gloves		Reject: fingered glove or plated gauntlet uses medieval/modern articulation, factory-like patterning, or pasted hard parts.
39	ChatGPT Image Jul 10, 2026, 11_23_37 PM (1).png	9275faf15c00b8c0da004060aa05a18f327b027ae703f94d492d30b1524c1d6f	review	spear		Review: excellent full-length spear framing, but all-over blade engraving and tassel make it unique-only.
40	ChatGPT Image Jul 10, 2026, 11_23_37 PM (10).png	27b722ee07a2314cc40de25227f650cda6fb923bf0999dd35204be196131593e	reject	boots		Reject: developed lasted footwear, built sole/heel, standardized paneling, or plate treatment reads medieval or modern.
41	ChatGPT Image Jul 10, 2026, 11_23_37 PM (2).png	e3f26eb53905734a4dac811574752986fe51ebed449c18a43984b59237faadb7	review	shield		Review: clean isolated shield silhouette, but dense lapis/gold decoration and concentric layout need unique-tier screening.
42	ChatGPT Image Jul 10, 2026, 11_23_37 PM (3).png	0a3e5e0f9efbf38cde1ef3e9c3c1fad39cfc65a5e2b3f083f6a60e548dc202dc	reject	belt_or_circlet		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
43	ChatGPT Image Jul 10, 2026, 11_23_37 PM (4).png	f1f092da55b465b1ab62dadcd643e776a1da9a0af8b366cc909e1946a59fc872	reject	amulet		Reject: radial/solar face, excessive danglers, collar scale, or fantasy jewelry treatment fails compact amulet hygiene.
44	ChatGPT Image Jul 10, 2026, 11_23_37 PM (5).png	86d4211045065b10d7073211c3bf82f18cf1a895e6b66d9419ae8aff98a1b219	review	body_armor		Review: short scale vest is coherent, but exact metal coverage and precision may exceed an ordinary ancient base.
45	ChatGPT Image Jul 10, 2026, 11_23_37 PM (6).png	83787cb59313e116eaa48d687835fcdf388c695f60821e9b0c72e3559c23a6c7	reject	outer_layer		Reject: shingled, overmatched, collar-like, or medieval costume construction fails the broad continuous ancient outer-layer rule.
46	ChatGPT Image Jul 10, 2026, 11_23_37 PM (7).png	6de28fcad1495a76f27acdb40c4c4c567a47432d3437be20e4a3a5ae384f839c	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
47	ChatGPT Image Jul 10, 2026, 11_23_37 PM (8).png	26a5c87b345bc78f41fb09fa4a5d24fa4dd069c5e1f73e17d24dc290fd43eec0	reject	ring		Reject: radial/solar bezel or dense fantasy ornament conflicts with the restrained ancient base-item motif policy.
48	ChatGPT Image Jul 10, 2026, 11_23_37 PM (9).png	c5b93315c0c9dc95bc8b4e1a06cddcd1005f3ebf8fac486836b8ba78a054debf	reject	gloves		Reject: fingered glove or plated gauntlet uses medieval/modern articulation, factory-like patterning, or pasted hard parts.
49	ChatGPT Image Jul 10, 2026, 11_24_03 PM (1).png	09e6dd4afc89a283ae45c54b7802e9f5bd66a120a6b2f6bb1a279e3c5c92fed3	promote	spear	salvage_spear_049	Promote: full-length stone-headed spear has shaft-dominant framing and a credible bound head join.
50	ChatGPT Image Jul 10, 2026, 11_24_03 PM (2).png	b7f7c26c29873e8aee5797ea00cec6e3257224a810f9454b0af2b1f3c43dd4f7	review	shield		Review: tall shield is complete and restrained enough to salvage, but the central fittings and front construction need closer structural QA.
51	ChatGPT Image Jul 10, 2026, 11_24_04 PM (10).png	d16320ed7b6920d13b248581c3017a26082e7d366dc32cb7d8fca5c8bbb225f1	reject	boots		Reject: developed lasted footwear, built sole/heel, standardized paneling, or plate treatment reads medieval or modern.
52	ChatGPT Image Jul 10, 2026, 11_24_04 PM (3).png	3a84f5a4d2954f2aef3c9208092c49517983e5c1022bb9780e1834640994bd62	reject	helmet		Reject: medieval/fantasy crest, crown, or structurally incoherent helmet treatment exceeds the ancient ceiling.
53	ChatGPT Image Jul 10, 2026, 11_24_04 PM (4).png	d250fa979758b6fba8f22ca5bee1a5e80058204119b9b298fe41b694fa005645	reject	amulet		Reject: radial/solar face, excessive danglers, collar scale, or fantasy jewelry treatment fails compact amulet hygiene.
54	ChatGPT Image Jul 10, 2026, 11_24_04 PM (5).png	2102d29d5a060dc0f4abb33a34f6cf8eeb47e0c9ad40dfc857fe20540b14e058	review	body_armor		Review: dark lamellar vest has useful overlap and silhouette, but uniform plate rhythm and trim need chronology/tier review.
55	ChatGPT Image Jul 10, 2026, 11_24_04 PM (6).png	88a2c14f739605fed99ea1ef17597855282925502503767fb666d193719d1409	reject	outer_layer		Reject: shingled, overmatched, collar-like, or medieval costume construction fails the broad continuous ancient outer-layer rule.
56	ChatGPT Image Jul 10, 2026, 11_24_04 PM (7).png	fdd9536604fb0f204c0fbc02d5870354143555d54455887f524455e04877910f	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
57	ChatGPT Image Jul 10, 2026, 11_24_04 PM (8).png	12154ceb3f726e1c662f8fc766faeade5619d41097e2e0d50e4ac4b24823e333	reject	ring		Reject: radial/solar bezel or dense fantasy ornament conflicts with the restrained ancient base-item motif policy.
58	ChatGPT Image Jul 10, 2026, 11_24_04 PM (9).png	af1a62ddc0edb52dc7fa29511b32b732498014c7182326007a9b7e2cef56e4d1	reject	gloves		Reject: paired forearm guards carry repeated eight-spoke solar roundels, a hard motif failure.
59	ChatGPT Image Jul 10, 2026, 11_24_34 PM (1).png	adccda2a9c49b4c6217d4c8aefcba6592eff0544f050709701649c42142d7359	reject	long_blade		Reject: medieval crossguard, fantasy machining, or post-ancient weapon silhouette.
60	ChatGPT Image Jul 10, 2026, 11_24_34 PM (2).png	f611e05126e61ec78baab18371e936401a522763f66fa8c1c97513c676ab4725	reject	long_blade		Reject: medieval crossguard, fantasy machining, or post-ancient weapon silhouette.
61	ChatGPT Image Jul 10, 2026, 11_24_34 PM (3).png	df201a5652a338fcd297f78ef8910d5c1ff5ed3425c8db112f60e144232b8842	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
62	ChatGPT Image Jul 10, 2026, 11_24_35 PM (10).png	6203b4e71267438bada96ca26aba2f4bf35416c0a78c451a48315416f0616d70	reject	boots		Reject: developed lasted footwear, built sole/heel, standardized paneling, or plate treatment reads medieval or modern.
63	ChatGPT Image Jul 10, 2026, 11_24_35 PM (4).png	df40763ce284691642cbb4407ff16153c2e0087ae42e24fda5af05cb68d0dcf9	reject	amulet		Reject: radial/solar face, excessive danglers, collar scale, or fantasy jewelry treatment fails compact amulet hygiene.
64	ChatGPT Image Jul 10, 2026, 11_24_35 PM (5).png	f01a01985345b63e1ef840aab41ded45ae84f46e3baab4b13c150d8fddcf684e	reject	body_armor		Reject: costume/medieval silhouette, anatomical shaping, mixed outfit pieces, or implausible armor assembly prevents direct use.
65	ChatGPT Image Jul 10, 2026, 11_24_35 PM (6).png	0623bf7cdcfe183bed474a5c56972b4398b324d84d454bb606bc3730e9582671	review	outer_layer		Review: continuous blue cloak has good broad drape, but trim, clasp, and tassel need motif/chronology screening.
66	ChatGPT Image Jul 10, 2026, 11_24_35 PM (7).png	0c003647ce53d05f461343a2a60a8bd9c8184db7aee4d5e32404dcc2b3983fb4	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
67	ChatGPT Image Jul 10, 2026, 11_24_35 PM (8).png	04bb969a3ceead31ec78c0818c88aed2fa94e8cef158fb867c968268f0209863	reject	ring		Reject: radial/solar bezel or dense fantasy ornament conflicts with the restrained ancient base-item motif policy.
68	ChatGPT Image Jul 10, 2026, 11_24_35 PM (9).png	4fc0fd9fcf53e2c8d885a4fc6a7bc9882b8b143fcab9c555ad7d67e281ce76fd	reject	gloves		Reject: fingered glove or plated gauntlet uses medieval/modern articulation, factory-like patterning, or pasted hard parts.
69	ChatGPT Image Jul 10, 2026, 11_25_02 PM (1).png	175dd6ceb24ed85c369114e2ffaec8ecfe760e50c4e682ab51af005cae509835	reject	throwing_bundle		Reject: not one empty historical hand sling with one cradle and exactly two cords; projectile/bundle content is disallowed.
70	ChatGPT Image Jul 10, 2026, 11_25_02 PM (10).png	07571997e0c026a4dd6acc4340b66c374cd2ecb93e97e6d0c4fe4ea3a1afbb35	review	boots		Review: wrapped-cloth sandal boots are promising, but their standardized sole and developed lower sandal need a modern-manufacturing check.
71	ChatGPT Image Jul 10, 2026, 11_25_02 PM (2).png	f4ac3aa4674dca5bc9eee53fbf6564d452597590c6ed643598d755badcf52517	promote	impact	salvage_impact_071	Promote: isolated wooden studded club has a readable impact silhouette and plausible hand-worked construction.
72	ChatGPT Image Jul 10, 2026, 11_25_02 PM (3).png	6861f075960bc68591dc967c09c104568b28dca883c5fca0242483872c581844	promote	helmet	salvage_helmet_072	Promote: soft padded cap has a full crown, bounded seam logic, and no medieval hardware.
73	ChatGPT Image Jul 10, 2026, 11_25_02 PM (4).png	a45b3c92e8faac922e6b3b05169ce1b57388050efb36f9a15cba6d3d6e03a276	reject	amulet		Reject: radial/solar face, excessive danglers, collar scale, or fantasy jewelry treatment fails compact amulet hygiene.
74	ChatGPT Image Jul 10, 2026, 11_25_02 PM (5).png	0cd155d64afd6c8ed5c16db9b1d4ab59d120639f3a0d9dc8f274ea919c5516f7	review	body_armor		Review: compact scale vest is readable, but leather straps over a scale field may be costume-like and need structural QA.
75	ChatGPT Image Jul 10, 2026, 11_25_02 PM (6).png	37c651eb6f87e912947bf5304b7f758d1476ad7ff62a14cb77858b73cae26c29	review	outer_layer		Review: broad mantle silhouette is usable, but shoulder wrap, clasp, and dangling tassel need slot-hygiene review.
76	ChatGPT Image Jul 10, 2026, 11_25_02 PM (7).png	12b519f7072df4ed2d5359cc374d06150ae5c68c994887b35e1957d3ad826523	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
77	ChatGPT Image Jul 10, 2026, 11_25_02 PM (8).png	164bc1b37b752006fd8a8b3845865d95367b86d36e67bda0a8f7514b37bc4a54	reject	ring		Reject: radial/solar bezel or dense fantasy ornament conflicts with the restrained ancient base-item motif policy.
78	ChatGPT Image Jul 10, 2026, 11_25_02 PM (9).png	10bda37cdab09bfae29bf8b4e4a06b38165d4f8511450bcea9ad9158b72ba31a	reject	gloves		Reject: fingered glove or plated gauntlet uses medieval/modern articulation, factory-like patterning, or pasted hard parts.
79	ChatGPT Image Jul 10, 2026, 11_25_30 PM (1).png	b2d52bef2d14eecc895df024873de8b45bd1cacb21206cdb4d47c2b7b6667dbe	promote	spear	salvage_spear_079	Promote: clean full-length spear is shaft-dominant, complete tip-to-butt, and mechanically plausible.
80	ChatGPT Image Jul 10, 2026, 11_25_30 PM (10).png	da20a2756c613dcd7ab597949fde27d01a3f68b3539ba6554a56162f5e0baf53	reject	boots		Reject: developed lasted footwear, built sole/heel, standardized paneling, or plate treatment reads medieval or modern.
81	ChatGPT Image Jul 10, 2026, 11_25_30 PM (2).png	ef04f96619d4bc1e5bfa6cd84fd2d27a31fc0ef49fd9aa840458996111e1943e	promote	shield	salvage_shield_081	Promote: complete hide-faced round shield has a hand-lashed rim, restrained boss, and rear-grip-compatible construction.
82	ChatGPT Image Jul 10, 2026, 11_25_30 PM (3).png	aee2001073e761aa9e6d729dc76c86796f0036421d7ee3fb0358898ed7ba054c	promote	helmet	salvage_helmet_082	Promote: plain stitched hide cap has a complete crown and simple pre-metal construction.
83	ChatGPT Image Jul 10, 2026, 11_25_30 PM (4).png	2860340f0189c5a5ee318f8cd7669034eace55d975d0d743ba3d9b886782d480	promote	amulet	salvage_amulet_083	Promote: compact tooth-and-cowrie pendant has credible cord binding and strong amulet-slot readability.
84	ChatGPT Image Jul 10, 2026, 11_25_30 PM (5).png	57aa0f58184356014e3cc981ce8991e5037add67e1a1b1ef1a3daa5f09e2c0f8	promote	body_armor	salvage_body_084	Promote: plain laced hide vest is anatomy-free, coherent, and highly usable as a low-tier body base.
85	ChatGPT Image Jul 10, 2026, 11_25_30 PM (6).png	875f7cc8dac61d08a7e66c9e72481cb9ceb99d548503efcc84d79938aca86aee	review	outer_layer		Review: simple cape is mostly continuous, but attached hood/collar styling may read post-ancient.
86	ChatGPT Image Jul 10, 2026, 11_25_30 PM (7).png	57faad77dd3b71237ddf5abd9d20f20decd97ae768a888f34cb875f7262e2777	reject	belt_or_quick_rig		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
87	ChatGPT Image Jul 10, 2026, 11_25_30 PM (8).png	8392a69c9a31e7d4b423966a9ccecb55e1d9d0774589648cd56e94fb5f00f12d	review	ring		Review: compact signet is readable, but the face is close to a radial/star motif.
88	ChatGPT Image Jul 10, 2026, 11_25_30 PM (9).png	a64dafff8e114d9d6f2d3b6b015e59be078e34b9754e01c19e4c7e4b1af174b7	promote	gloves	salvage_gloves_088	Promote: paired layered hide forearm wraps are materially continuous and avoid fingered modern glove anatomy.
89	ChatGPT Image Jul 10, 2026, 11_25_55 PM (1).png	3a983c57b481cf7c296669c7073039ebd2f4e5123542fcddfc812e31a0f59e3f	reject	long_blade		Reject: medieval crossguard, fantasy machining, or post-ancient weapon silhouette.
90	ChatGPT Image Jul 10, 2026, 11_25_55 PM (2).png	a370b870f5147037179fb8b023e548b14c1eee317755ff955fcd1c95517e7519	reject	shield		Reject: solar/radial target treatment, toy-like construction, or overbuilt medieval hardware prevents base-item use.
91	ChatGPT Image Jul 10, 2026, 11_25_56 PM (3).png	5eb17a0f4707a5c1149f42b357d391d7e5915140e3a85e3fffd1216f3a775833	reject	helmet		Reject: medieval/fantasy crest, crown, or structurally incoherent helmet treatment exceeds the ancient ceiling.
92	ChatGPT Image Jul 10, 2026, 11_25_56 PM (4).png	9a62b448cf264d2a0de32d6c09dc50dc71b95245ec523a6b6fecdf1b6ad37e51	review	amulet		Review: clean pendant silhouette, but polished cabochon setting is highly finished and needs tier screening.
93	ChatGPT Image Jul 10, 2026, 11_25_57 PM (5).png	ef67c4f9ef6b73b2afbbbd0a4fca6425da7ee63ddc99945a5cd88e0c6a1d9482	review	body_armor		Review: short scale corslet is isolated and coherent, but shoulder massing and dense regular plates may read medieval rather than ancient.
94	ChatGPT Image Jul 10, 2026, 11_25_57 PM (6).png	78a35167cdf266096add619461bd74960e847e1db27162916ae2ca272939b570	reject	outer_layer		Reject: shingled, overmatched, collar-like, or medieval costume construction fails the broad continuous ancient outer-layer rule.
95	ChatGPT Image Jul 10, 2026, 11_25_58 PM (7).png	2180b2a723ec1be7ed1f37f1b8a7afbaace81829d9daf86a50dc69cb464d7a95	reject	belt_or_quick_rig		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
96	ChatGPT Image Jul 10, 2026, 11_25_58 PM (8).png	60a59b29a3202a5158e5c33ba30c30091896d4e409df0525aa7af78edacaccff	review	ring		Review: compact geometric ring is usable, but the bezel is ornate enough for unique-tier only.
97	ChatGPT Image Jul 10, 2026, 11_25_58 PM (9).png	e4077709e6f9f9cef67f1b39396c2826b84c9b6ed2b369eb83e7c334f75a17ca	reject	gloves		Reject: fingered glove or plated gauntlet uses medieval/modern articulation, factory-like patterning, or pasted hard parts.
98	ChatGPT Image Jul 10, 2026, 11_25_59 PM (10).png	b07d2018d7bdf95c667a5bf097ed3fb4bf26bef6e260851fc6b043ee329ec3df	reject	boots		Reject: developed lasted footwear, built sole/heel, standardized paneling, or plate treatment reads medieval or modern.
99	ChatGPT Image Jul 10, 2026, 11_39_34 PM (1).png	6876021dcd02f8997b9cdf1333cc25bc06980c998645559d1a20036197aefff8	promote	spear	salvage_spear_099	Promote: complete narrow spear has excellent tip-to-butt framing and a simple shaft/head join.
100	ChatGPT Image Jul 10, 2026, 11_39_34 PM (10).png	551027648ba46221fe474d4f79d24ecf3570b363f57855bebd12ef337a72a3d4	reject	boots		Reject: developed lasted footwear, built sole/heel, standardized paneling, or plate treatment reads medieval or modern.
101	ChatGPT Image Jul 10, 2026, 11_39_34 PM (2).png	43be5755d5f7e9dcbc1161b37072f36fbd0ecbd3103578988b5a4e9584ce122e	review	shield		Review: complete oval shield is structurally plausible, but concentric panel lines risk radial-target read.
102	ChatGPT Image Jul 10, 2026, 11_39_34 PM (3).png	d9449320d495b78fac9a911083613dd6c1c5dfac071591c7c13ab99a96c6acb5	review	helmet		Review: full fur-lined cap is coherent, but brow discs and dense tooling require motif/tier screening.
103	ChatGPT Image Jul 10, 2026, 11_39_34 PM (4).png	01d966e40715f6d222e41f5155e8d6f93b0b27d981f9b555e040e9736c627441	review	amulet		Review: compact amber pendant is readable, but ornate frame and pointed drops make it unique-tier.
104	ChatGPT Image Jul 10, 2026, 11_39_34 PM (5).png	3bcb95ad05b9b9e84cdb3976e6ededf53dd430236824c6be3d836968db3c856b	reject	body_armor		Reject: costume/medieval silhouette, anatomical shaping, mixed outfit pieces, or implausible armor assembly prevents direct use.
105	ChatGPT Image Jul 10, 2026, 11_39_34 PM (6).png	6f61ff13d388d96eeb2ab08385d6748a8860508990a415671f295219cafe8149	review	outer_layer		Review: continuous pelt cloak is strong, but its chain-like neck fastening and high finish need chronology screening.
106	ChatGPT Image Jul 10, 2026, 11_39_34 PM (7).png	4bb1499e77a6cc57e4caabfbca1b245b9b0eb941933e9e36e2ff4e4c27e4c1eb	reject	belt		Reject: radial centerpiece, dangling costume clutter, modern hardware, or non-shallow silhouette fails the 2x1 belt lane.
107	ChatGPT Image Jul 10, 2026, 11_39_34 PM (8).png	e26d46e43a6602c456a7f874cf66331bb3211ad5c64eb5b2c0346f4adaf94e7a	review	ring		Review: blue-stone ring is readable, but dense bezel decoration exceeds a generic base.
