filename	verdict	slot_guess	tier_guess	stat_axis	faction_guess	confidence	background	desc	reason	sha256
ChatGPT Image Aug 13, 2026, 07_30_47 PM.png	review	outer_layer	T2	DEX	Dustwind	med	slate	wrapped blue travel scarf with woven borders	Gate 2: holds invisible-neck shape without a body	4cf8bcc1d3f65fecd6e5b70441ea244b82e37533c6a3aa69ae87cc2deb3c5241
ChatGPT Image Aug 13, 2026, 07_31_08 PM.png	review	axe	T5	STR	North	low	slate	bearded axe, bright steel head, wood haft	bearded form near AD 600 ceiling; bright polished steel outside material ladder	5a939608e0d3f0d1cce0c8494b022bdc64e0f8a00fc02ccf1aa0ff3f93c6ed6b
ChatGPT Image Aug 13, 2026, 07_31_14 PM.png	reject	shield	T1	STR	Stonewood	med	slate	rectangular woven wicker shield	Gate 1: wicker shield is listed weak-prop reject	b4ccc942d033f4709703f9cf14e16194efc749ce4546c1562c9750b804c9f83f
ChatGPT Image Aug 13, 2026, 07_31_21 PM.png	promote	impact	T3	STR	Riverspill	med	slate	bronze studded club with banded spiked head	knobbed bronze mace form valid Near East; heavy bronze mass fits Riverspill	7a4395fc5099736b1dff9e94e5fc8d351ac63931b2a677821ccdd671cad481a7
ChatGPT Image Aug 13, 2026, 07_31_28 PM.png	promote	sword	T5	DEX	unclear	low	slate	curved single-edged blackened blade, disc guard	kopis-like curve plausible; dark iron blade suggests T5, faction unreadable	ddc7db5aa6077e61881a06f8faa6fc974b44553c7bfd718a6cda447d057f934c
ChatGPT Image Aug 13, 2026, 07_38_14 PM.png	review	helmet	T2	DEX	Dustwind	med	slate	fur-trimmed leather winter cap	Gate 2: modern hat product read, decorative button and slotted band	acf8a3d94ad75cea9c3f61e2bec26d9e63208ed458b925162a35b7863af346fd
ChatGPT Image Aug 13, 2026, 07_38_26 PM.png	review	body_armor	T3	STR	Dustwind	med	slate	bronze lamellar cuirass, leather trim, side buckles	Gate 3 risk: central chest rosette medallion; lamellar itself valid	babfd1f5a535062f9e1a8104ca8c07a88d87890ea2f364f3744e46bbefe12975
ChatGPT Image Aug 13, 2026, 07_38_40 PM.png	promote	boots_footwear	T2	DEX	Dustwind	med	slate	pair of strap-wrapped leather ankle moccasins	proper pair, hand-stitched construction, no modern seams	ae17e661a89b0b6f999e3448d71d884b4d2304b979f73c7d75466416e0a6e668
ChatGPT Image Aug 13, 2026, 07_38_46 PM.png	promote	spear	T2	DEX	unclear	med	slate	full-length spear, copper leaf head, plain shaft	full polearm length reads; simple copper-and-wood build coherent	748efc654cf3522b4a374e8161cfba19301ae2d689ab6dfd9750eee442ff3bb2
ChatGPT Image Aug 13, 2026, 07_38_54 PM.png	reject	shield	T2	DEX	Dustwind	med	slate	rectangular open-lattice rod shield, wood frame, bronze bosses	Gate 1 wicker/lattice shield weak-prop read; open see-through face	cdea7eb0cb2c4ec83a9872f6b93aec8be2117ebe6bb869a2792d2aaf7a920495
ChatGPT Image Aug 13, 2026, 07_39_02 PM.png	review	amulet	T4	INT	unclear	med	slate	bronze openwork cage pendant holding engraved egg core	very ornate for base; armillary-like cage may read past ceiling	d365bbc6f848aa6904fea64f8768cf81df92276308d98e0f98a2f915e107c88c
ChatGPT Image Aug 13, 2026, 07_57_52 PM.png	promote	helmet	T2	DEX	Dustwind	high	slate	dark leather head wrap with veil, bronze ring browband	clean desert scarf language, coherent materials	83404e64a83729450cc29481f658f4de47d8aa2bd616850f8f6bc552e29a6cda
ChatGPT Image Aug 13, 2026, 09_08_11 PM.png	promote	helmet	T2	DEX	Dustwind	high	slate	dark leather headwrap, hanging face veil, studded browband	coherent desert headwear, readable silhouette	334969077d5878bdd9aaf51a3f83ae2eada928fe8839e610e673f27b5ee1f16e
ChatGPT Image Aug 13, 2026, 09_08_25 PM.png	promote	helmet	T2	DEX	Dustwind	high	slate	tan linen headwrap veil, studded leather browband with ring	coherent desert headwear, strong faction read	5bd3dc6dfb392a312627fc0afeefc7b90a237ca94c8b79f4df84891b819c7525
ChatGPT Image Aug 13, 2026, 09_27_34 PM.png	reject	helmet	T4	STR	Stonewood	high	black	carved painted wooden serpent-head helmet with fangs	Gate 3 dominant spiral motif at ear; also black background	526b0f5a0b2fc4ddaca45ab1c6b5665c8fdceb9091187c324bd2be202b79b2a3
ChatGPT Image Aug 13, 2026, 09_27_41 PM.png	promote	body_armor	T2	DEX	Stonewood	med	slate	coarse woven fiber vest, leather whipstitch trim and ties	simple woven armor, coherent material hierarchy	2be59413e62f7527b9da11eaf03558c72705500703e3e41bff97fb37541baf2a
ChatGPT Image Aug 13, 2026, 09_27_48 PM.png	promote	outer_layer	T2	DEX	unclear	med	slate	plain brown wool cloak with cord toggle closure	simple coherent garment, no gate issues	d3bcca3d09b744b9fdeb88af7a66d97076562e185c2742d97751ca2e280dbd8e
ChatGPT Image Aug 13, 2026, 09_27_56 PM.png	promote	outer_layer	T1	DEX	Dustwind	med	slate	fringed woven wool travel scarf with striped border	desert scarf language; slot approximated as outer_layer	fd34937377889b7cf20d6a040f212836c22ca9267da3ab2f4687843d0780dc0f
ChatGPT Image Aug 13, 2026, 09_28_06 PM.png	review	gloves_hands	T2	DEX	unclear	med	slate	pair of stitched leather gloves with cord wrist wraps	Gate 2 fitted five-finger silhouette reads near-modern despite hand stitching	3ced67c8829692b422a9e98b7b8faa23199a7fa283b9680f6894800a98332336
ChatGPT Image Aug 13, 2026, 09_28_13 PM.png	promote	boots_footwear	T2	DEX	Riverspill	med	slate	pair of leather toe-loop sandals with ankle cords	valid pair, Egyptian sandal form, coherent materials	d8be2ec49774918abd3c733a84b355d7682bc9107fd6254baf9e9327033dea6e
ChatGPT Image Aug 13, 2026, 09_28_19 PM.png	promote	quiver	T2	DEX	Stonewood	med	slate	woven basketry quiver with plaited carry strap	empty quiver, no arrows or bow; coherent weave	3e2708e0b0f9911a34196960d66e12da41baa1061961c3d10aa5dccd5b2c4775
ChatGPT Image Aug 13, 2026, 09_28_25 PM.png	promote	spear	T1	DEX	unclear	high	slate	full-length wooden spear with lashed knapped stone head	full-length polearm reads; simple coherent T1 construction	d7630b9ae761ae9a49cd986b53947fccba4759d96386c462f1b087aeaf393dba
ChatGPT Image Aug 13, 2026, 09_28_35 PM.png	promote	dagger	T1	DEX	Stonewood	med	slate	large knapped dark stone knife, carved wood handle	coherent flint/wood/cord hierarchy, readable silhouette	4119ab079133559a69c275c606f8e74f907b796debdafd6cae2a8053324c44a7
ChatGPT Image Aug 13, 2026, 10_09_28 PM.png	promote	outer_layer	T3	DEX+INT	North	high	slate	green wool cloak, woven chevron borders, bronze clasp	North border language; ornate but within faction idiom	83fd6d69a84800699632f7ef8c04f73a00ed9c0e1405ae55239609da264ff4cd
ChatGPT Image Aug 13, 2026, 10_09_39 PM.png	reject	shield	T4	STR	Stonewood	low	slate	round shell-paneled shield with black stone boss	Gate 3: gold spokes radiating from central boss, rayed-disk/spoked-wheel read	f8d0067f0a3a00d828b0852ef447d9edc6b2b09141f5d161d6477ac31dc04f71
ChatGPT Image Aug 13, 2026, 10_09_46 PM.png	promote	sword	T4	STR+DEX	Stonewood	high	slate	carved wooden paddle club with knapped obsidian edge	macuahuitl-like Stonewood blade, coherent materials, clean silhouette	e6467feeb6a80aa42a4559189bba3dd603c32216723c790761c37b0d7c7c5061
ChatGPT Image Aug 13, 2026, 10_09_54 PM.png	promote	dagger	T4	DEX	Stonewood	high	slate	obsidian dagger, carved bird-head wooden hilt, jade eye	clean single item, coherent obsidian-on-wood hierarchy, readable at small size	3e49cb737a147f6263e231dfbfaa93f891321d4c75084495cc9daeee709e91ce
ChatGPT Image Aug 13, 2026, 10_10_01 PM.png	reject	quiver	T2	DEX	Stonewood	med	slate	woven wicker quiver with shoulder strap, empty	Gate 3: carved spiral coil clasp on front face	14fb32561bdb15352259140970567feeffb4aa2c30c64fc79b682f7e566cff76
ChatGPT Image Aug 13, 2026, 10_10_08 PM.png	review	helmet	T4	DEX	Stonewood	med	slate	leather helmet with cowrie shells and jade disk medallion	shell-tile ring around jade disk risks rosette-as-sun read	eb49114ff15b57ab1a6504f3f2fae9300dcbf3b55ab309495469176239dc6bd4
ChatGPT Image Aug 13, 2026, 10_10_15 PM.png	promote	boots_footwear	T3	DEX	Dustwind	med	slate	pair of strapped leather ankle moccasin boots	proper pair, hand-stitched pre-ancient construction, bronze buckle plausible	8879f7299132593c6992e698f3a8ad60fb4eb9ef54594f87c6d513e8e78ed88e
ChatGPT Image Aug 13, 2026, 10_12_33 PM.png	review	outer_layer	T4	DEX+INT	Stonewood	med	slate	green feather-trimmed cloak, zigzag borders, disc clasps	paired rayed disc brooches at central clasp risk small solar read	92362602851e2fa42d8d35f48cf313ff0675a87697d2e069a642666156334ba9
ChatGPT Image Aug 13, 2026, 10_12_42 PM.png	reject	shield	T2	STR	unclear	low	slate	painted hide shield, concentric rings, radiating leaf shapes	Gate 3: dominant concentric sun-ring plus radiating motif around boss	4ac41fd5f36e92533d4566ad08b7b0fb4beb851092fcfa118fc5dd541bd1e06b
ChatGPT Image Aug 13, 2026, 10_12_58 PM.png	review	helmet	T4	DEX	Stonewood	med	slate	jaguar pelt hood helmet over painted hide mask	lifelike animal head brushes anatomy gate; very ornate, likely unique	f2c4f4bfdc40053bebeeffa6fb15be09272c3cb001c30e966acfd6a46eaaec6e
ChatGPT Image Aug 13, 2026, 10_13_11 PM.png	promote	amulet	T4	INT	Stonewood	high	slate	greenstone bead collar with carved gold pendant	coherent jade-and-gold ritual collar, ornate but clean high-tier read	1eb423bc0bd098c6a70642907cee633be4ef26dcc3c06e5bc17e7d55baaba19d
ChatGPT Image Aug 13, 2026, 10_18_09 PM.png	promote	body_armor	T3	DEX	Stonewood	med	slate	quilted wrap tunic armor with stepped-fret borders	ichcahuipilli-like quilted armor, coherent textile construction, single garment	65c592169d71fc6fd32c072523b79a9b3fdba706c8cd3eb299a11530b05a0976
ChatGPT Image Aug 13, 2026, 10_21_06 PM.png	promote	outer_layer	T3	DEX+INT	Stonewood	med	slate	woven cloak with banded geometric and formline panels	coherent Tlingit-style weave, single garment, toggle clasp plausible	9760ff3ee8b443585066325c33e6b0970ebba2c69b62af4baecc4c6f8a3341ba
ChatGPT Image Aug 13, 2026, 10_21_21 PM.png	review	helmet	T4	STR	unclear	low	slate	gold horned helmet with totemic face plaque	over-finished; mixed Aegean face-guard and Stonewood totem language	1727473f1bf21c01151c44b6c04558868a85926529896765c9fa99d7b8e22d36
ChatGPT Image Aug 13, 2026, 10_21_33 PM.png	promote	body_armor	T4	STR+DEX	Stonewood	med	slate	laced wooden slat cuirass, woven borders, gold plaques	slat-and-cord armor coherent, gold accents read T4	7f54cbada2f193e97ea1ed9c68bcfa82a65699a5a93651551bf68afcf0c87aac
ChatGPT Image Aug 13, 2026, 10_21_53 PM.png	review	impact	T4	STR	unclear	low	slate	long-hafted twin stone-head maul with gold bindings	gold fittings over-finished for raw stone heads; possible unique	9f93b83c27876294d5da86493f7102e2d38e5e1fb7066e9b4ad9a8afa8ca1170
ChatGPT Image Aug 13, 2026, 10_22_05 PM.png	reject	amulet	T4	INT	Stonewood	med	slate	Gold pectoral collar with jade inlay and central face mask	Gate 3: two dominant rayed-disk medallions read as solar/radial motif	00f23ab1cb648570e5e3dd8f3f8fa0c0c3f5418247de3da389e32807770276cb
ChatGPT Image Aug 13, 2026, 10_22_16 PM.png	review	belt	T2	DEX	Dustwind	med	slate	Coiled woven geometric sash with two hanging ends	Coiled vertical presentation with hanging tails; horizontal belt band read uncertain	b58e75677d3f435bb3368b7dbf57962267efc291322f084a2e5e42d2a32b0e07
ChatGPT Image Aug 13, 2026, 10_37_19 PM.png	promote	amulet	T4	INT	Stonewood	high	slate	Carved jade pendant on knotted cord with turquoise beads	Clean single item, coherent carved greenstone, no gate failures	b49beb1a5de55a00e746a8928a15ced23da8073098b6d2170d1843be2b4084d8
ChatGPT Image Aug 13, 2026, 10_37_26 PM.png	promote	spear	T1	STR+DEX	unclear	med	slate	Full-length wooden spear with knapped dark stone point	Full-length polearm silhouette, coherent T1 scavenged materials	b458196f359b7a29c3ac6f3dd418f3325b9180c21f32defb89ce807ccb9f747d
ChatGPT Image Aug 13, 2026, 10_37_34 PM.png	promote	impact	T4	STR	Stonewood	med	slate	Wooden club with knapped obsidian teeth along one edge	Valid macuahuitl-like Stonewood club; obsidian used as cutting edge only	d4b2595a144fa355c0779bd06b6e82d1a64fa3b1acab1053b733fb9cc53aedb1
ChatGPT Image Aug 13, 2026, 10_37_44 PM.png	promote	body_armor	T2	DEX	unclear	low	slate	Striped red-blue woven textile vest with side lacing	Clean single garment, hand-laced pre-ancient construction; faction signals mixed	9828c5aaadc18df1361ead7b57ac86ead60948fbdee2bbe31d74525dd5ecc028
ChatGPT Image Aug 13, 2026, 10_37_51 PM.png	promote	outer_layer	T2	DEX	Dustwind	low	slate	Long indigo and red wool cape with stepped border	Coherent woven travel cloak; no shingle, spiral, or solar motifs	077c04b79150d98594e60c3c7a9d7eb591e64cf185fb331a5df79f3ac7b1a3bb
ChatGPT Image Aug 13, 2026, 10_50_45 PM.png	review	body_armor	T4	DEX	Riverspill	low	slate	Leopard-fur tunic with teal bands and gold rosette plaques	Very ornate; central chest rosette plaque borderline radial motif, possible unique	ccd2d80840758f859a19aecf73dc0890ca61ab869c2da739ddb081f27875744f
ChatGPT Image Aug 13, 2026, 10_50_51 PM.png	promote	helmet	T4	INT+STR	Stonewood	high	slate	Jaguar-skull hide helmet with red-black feather crest	Coherent Stonewood ritual helmet; ornate but deliberate high-tier read	040bf18c366bc21ae94dc84cd3059cade307bda25efec5f532bd4a1efaa7470e
ChatGPT Image Aug 13, 2026, 10_50_58 PM.png	review	outer_layer	T4	INT	Riverspill	low	slate	Black wool cloak with leopard trim and gold-teal bands	Very ornate for ordinary base; repeated rosette plaques, near-ceiling finish	0508cea7b885bce7dac322710c8c1bd9a81ae694cb42625d4cc99f5273e45c72
ChatGPT Image Aug 13, 2026, 10_51_04 PM.png	promote	boots_footwear	T2	DEX	Dustwind	high	slate	Pair of hide and fur boots with red embroidered panels	Proper pair, steppe hide construction, hand-stitched, no modern seams	b471346ccd5ddbbbe92eaec97b7e5ea0d723f4cf95e2ef28daf89b96771d86b9
ChatGPT Image Aug 13, 2026, 10_51_16 PM.png	review	belt	T4	INT	Riverspill	low	slate	Teal leather belt with gold rosette plaques, leopard lining	Repeated rosette medallions approach clutter; over-finished, possible unique	dfaeee2fd41f80404ac7dc5c387485bc8dfd4e5ee20b33af85d09413d775dacd
ChatGPT Image Aug 13, 2026, 10_51_32 PM.png	promote	impact	T3	STR	Stonewood	med	slate	Stone-headed maul with bronze bands and carved handle	Readable hammer, coherent stone-wood-bronze material hierarchy	921d0fe137072d0d4ff8967bfb0a8e5607c8a54742e62c30e5ea420af7e4ea83
ChatGPT Image Aug 13, 2026, 11_06_20 PM.png	promote	body_armor	T1	DEX	Stonewood	low	slate	Plain coarse woven fiber vest with rope waist cord	Clean T1 fiber armor, whipstitched edges, no gate failures	1f0b93ea9d32f954af796ff2f34850a4ed2f3e35b9bdb73f1f20becc2ebf9951
ChatGPT Image Aug 13, 2026, 11_06_29 PM.png	promote	outer_layer	T1	DEX	North	med	slate	Undyed wool cape with ochre border stripes and fringe	Plain pale wool cloak, coherent, light wear only	f2f75216fa1391e75cd0791b35eb87ade16f1ba3b0452c51afdcc47939de49e8
ChatGPT Image Aug 13, 2026, 11_06_35 PM.png	promote	shield	T1	DEX	Dustwind	low	slate	oval hide shield, lashed wood rim, red painted stripes	clean front face, coherent hide/wood/cord build, light wear only	3105aff642baddc32a7201ec6ae463cc63aa0810a20f7cdd9f77d401e6727d1b
ChatGPT Image Aug 13, 2026, 11_06_41 PM.png	promote	impact	T1	STR	Stonewood	med	slate	wooden club with lashed stone teeth along edge	serrated wood club language, valid stone-on-wood hafting, readable silhouette	062a400e874bc624ecbc673e7021a0e680a12606d5801bf9b179cff37920648b
ChatGPT Image Aug 13, 2026, 11_06_47 PM.png	promote	dagger	T1	DEX	unclear	med	slate	knapped dark stone dagger, bone handle, cord wrap	coherent flint/bone/cord hierarchy, clean isolated item	4f91a0282121a55d1fbb10d9552324c4bdb1ded2fb8833e55d67a234dd802030
ChatGPT Image Aug 13, 2026, 11_06_54 PM.png	review	quiver	T1	DEX	Stonewood	low	slate	tall woven wicker cylinder with braided shoulder strap	slot uncertain quiver vs container_pack; reed-basket weak-prop risk (Gate 1)	1d6c2ca11b000412517f6d1af461e0781bf7c6ebf873e3a0aeb7165f306b9683
ChatGPT Image Aug 13, 2026, 11_07_01 PM.png	promote	boots_footwear	T2	DEX	Dustwind	low	slate	pair of hand-stitched leather moccasin shoes	proper pair, whip-stitch hide construction, no modern shoe features	9d2d48d3a0263d2a3eb336cf259cf4fb367e8274a1d2a35930c6032fdd8d7b6a
ChatGPT Image Aug 13, 2026, 11_07_11 PM.png	review	helmet	T2	STR	Stonewood	low	slate	carved wooden face mask with rope-lashed rim	slot identity uncertain: war helmet vs ritual mask (Gate 3 review)	8ea82c8d8beae735aadd76e2a202712e4683756dc6763f4f6c433cc0c4fe8749
ChatGPT Image Aug 13, 2026, 11_16_06 PM.png	review	helmet	T4	STR	unclear	low	slate	gilded tall-crested helmet, leopard fur, feathers	very ornate for base slot; mixed faction cues (meander bronze vs leopard/feathers)	b2417fb4924a0e1a928cc955434765904ece2054b7ac57978e8ba9a6880a896e
ChatGPT Image Aug 13, 2026, 11_16_14 PM.png	review	outer_layer	T4	DEX	Stonewood	low	slate	leopard-fur mantled hide cloak, feather clusters, plaques	radial rosette clasps borderline solar-motif risk; over-finished for ordinary base	fe65e438c2dab2c37ef48de39b2f1afdbb3723010eaec5dc4bb817d293313337
ChatGPT Image Aug 13, 2026, 11_16_23 PM.png	review	belt	T4	STR	Stonewood	low	slate	leopard-fur belt, gold plaques, central jade inset	very ornate/unique-tier read for ordinary belt base; horizontal band OK	4646c53f1fee6a275317b0dcafa4b62df9245fddb886eac15d76211d4120a34e
