art_id	source_filename	source_sha256	display_name	slot_guess	runtime_slot	runtime_form_id	material_id	tier	stat_axis	faction	confidence	canvas	grid_w	grid_h	description	triage_reason	qa_status
pc2_014	ChatGPT Image Aug 13, 2026, 06_56_26 PM.png	5553d57c089205ebfc0152c3ab355959d2ee9040b86f11ddf32d87a6c659d5e5	Leather Hood with Shoulder Mantle and Toggle Tie	helmet	head	batch_helmet	quilted	2	DEX	North	med	S	2	2	leather hood with shoulder mantle and toggle tie	single clean garment, readable silhouette, period-safe construction	accepted
pc2_015	ChatGPT Image Aug 13, 2026, 06_56_32 PM.png	ca5dc320a3dddf885329b78daa96fd77854b66e23f0f8334c98078c2fa7aa90a	Laced Hide Moccasin Ankle Boots	boots_footwear	boots	batch_boots	quilted	2	DEX	Stonewood	low	S	2	2	pair of laced hide moccasin ankle boots	clean pair, hand-stitched pre-ancient construction, no modern seams	accepted
pc2_016	ChatGPT Image Aug 13, 2026, 07_10_34 PM.png	40dbb64c2ca5cd590ccdbff6c231063823f6a38166de9ea3a3ee6c296aaf24f5	Laced Lamellar Vest, Bronzed Plates, Leather Trim	body_armor	body	batch_body	bronze	3	STR+DEX	Dustwind	med	P	2	3	laced lamellar vest, bronzed plates, leather trim	valid ancient laced lamellar, single item, clean silhouette	accepted
pc2_021	ChatGPT Image Aug 13, 2026, 07_11_28 PM.png	d1f7bf0ab672f961214409899106cabb962d03fb19b609cc4952067e62ded361	Bronze Dagger, Leather and Cord Wrapped Hilt	dagger	weapon	batch_dagger	bronze	3	DEX	unclear	med	P	1	2	bronze dagger, leather and cord wrapped hilt	clean single weapon, bronze-age valid form and materials	accepted
pc2_022	ChatGPT Image Aug 13, 2026, 07_11_37 PM.png	f462c9bdc18ed8c5ccea6645ca1a447744ad3dc2ade6f28ecdb7bf9263a5da1e	Leather Belt Pouch, Straps, Beads, Blue Cloth	container_pack	quickrig	batch_pack	bronze	3	DEX	Dustwind	med	S	2	2	leather belt pouch, straps, beads, blue cloth	single clean container, coherent materials, period-safe fittings	accepted
pc2_029	ChatGPT Image Aug 13, 2026, 07_16_15 PM.png	ffda14e8664ccab851c504917fb48c9754e1c1e734bf05ede1bf42fbab59026d	Tooled Leather Quiver with Blue Scarf Wrap	quiver	quickrig	batch_quiver	bronze	3	DEX	Dustwind	high	P	2	3	tooled leather quiver with blue scarf wrap	empty quiver, no arrows/bow; steppe scarf language coherent	accepted
pc2_033	ChatGPT Image Aug 13, 2026, 07_30_30 PM.png	23f15d35abc4bee514b097ba631ca279d988f6c6eec973b432673afe6aeb045a	Dark Iron Domed Helmet, Cheek and Neck Guards	helmet	head	batch_helmet	skymetal	5	STR	unclear	med	S	2	2	dark iron domed helmet, cheek and neck guards	coherent pre-ancient build, both cheek guards, raw dark iron reads T5	accepted
pc2_038	ChatGPT Image Aug 13, 2026, 07_31_21 PM.png	7a4395fc5099736b1dff9e94e5fc8d351ac63931b2a677821ccdd671cad481a7	Bronze Studded Club with Banded Spiked Head	impact	weapon	batch_impact	bronze	3	STR	Riverspill	med	P	1	3	bronze studded club with banded spiked head	knobbed bronze mace form valid Near East; heavy bronze mass fits Riverspill	accepted
pc2_039	ChatGPT Image Aug 13, 2026, 07_31_28 PM.png	ddc7db5aa6077e61881a06f8faa6fc974b44553c7bfd718a6cda447d057f934c	Curved Single-edged Blackened Blade, Disc Guard	sword	weapon	batch_sword	skymetal	5	DEX	unclear	low	P	1	3	curved single-edged blackened blade, disc guard	kopis-like curve plausible; dark iron blade suggests T5, faction unreadable	accepted
pc2_042	ChatGPT Image Aug 13, 2026, 07_38_40 PM.png	ae17e661a89b0b6f999e3448d71d884b4d2304b979f73c7d75466416e0a6e668	Strap-wrapped Leather Ankle Moccasins	boots_footwear	boots	batch_boots	quilted	2	DEX	Dustwind	med	S	2	2	pair of strap-wrapped leather ankle moccasins	proper pair, hand-stitched construction, no modern seams	accepted
pc2_043	ChatGPT Image Aug 13, 2026, 07_38_46 PM.png	748efc654cf3522b4a374e8161cfba19301ae2d689ab6dfd9750eee442ff3bb2	Spear, Copper Leaf Head, Plain Shaft	spear	weapon	batch_spear	copper	2	DEX	unclear	med	P	2	4	full-length spear, copper leaf head, plain shaft	full polearm length reads; simple copper-and-wood build coherent	accepted
pc2_046	ChatGPT Image Aug 13, 2026, 07_57_52 PM.png	83404e64a83729450cc29481f658f4de47d8aa2bd616850f8f6bc552e29a6cda	Dark Leather Head Wrap with Veil, Bronze Ring Browband	helmet	head	batch_helmet	quilted	2	DEX	Dustwind	high	S	2	2	dark leather head wrap with veil, bronze ring browband	clean desert scarf language, coherent materials	accepted
pc2_047	ChatGPT Image Aug 13, 2026, 09_08_11 PM.png	334969077d5878bdd9aaf51a3f83ae2eada928fe8839e610e673f27b5ee1f16e	Dark Leather Headwrap, Hanging Face Veil, Studded Browband	helmet	head	batch_helmet	quilted	2	DEX	Dustwind	high	S	2	2	dark leather headwrap, hanging face veil, studded browband	coherent desert headwear, readable silhouette	accepted
pc2_048	ChatGPT Image Aug 13, 2026, 09_08_25 PM.png	5bd3dc6dfb392a312627fc0afeefc7b90a237ca94c8b79f4df84891b819c7525	Tan Linen Headwrap Veil, Studded Leather Browband with Ring	helmet	head	batch_helmet	quilted	2	DEX	Dustwind	high	S	2	2	tan linen headwrap veil, studded leather browband with ring	coherent desert headwear, strong faction read	accepted
pc2_050	ChatGPT Image Aug 13, 2026, 09_27_41 PM.png	2be59413e62f7527b9da11eaf03558c72705500703e3e41bff97fb37541baf2a	Coarse Woven Fiber Vest, Leather Whipstitch Trim and Ties	body_armor	body	batch_body	quilted	2	DEX	Stonewood	med	P	2	3	coarse woven fiber vest, leather whipstitch trim and ties	simple woven armor, coherent material hierarchy	accepted
pc2_051	ChatGPT Image Aug 13, 2026, 09_27_48 PM.png	d3bcca3d09b744b9fdeb88af7a66d97076562e185c2742d97751ca2e280dbd8e	Plain Brown Wool Cloak with Cord Toggle Closure	outer_layer	cloak	batch_outer	quilted	2	DEX	unclear	med	P	2	3	plain brown wool cloak with cord toggle closure	simple coherent garment, no gate issues	accepted
pc2_052	ChatGPT Image Aug 13, 2026, 09_27_56 PM.png	fd34937377889b7cf20d6a040f212836c22ca9267da3ab2f4687843d0780dc0f	Fringed Woven Wool Travel Scarf with Striped Border	outer_layer	cloak	batch_outer	hide	1	DEX	Dustwind	med	P	2	3	fringed woven wool travel scarf with striped border	desert scarf language; slot approximated as outer_layer	accepted
pc2_054	ChatGPT Image Aug 13, 2026, 09_28_13 PM.png	d8be2ec49774918abd3c733a84b355d7682bc9107fd6254baf9e9327033dea6e	Leather Toe-loop Sandals with Ankle Cords	boots_footwear	boots	batch_boots	quilted	2	DEX	Riverspill	med	S	2	2	pair of leather toe-loop sandals with ankle cords	valid pair, Egyptian sandal form, coherent materials	accepted
pc2_055	ChatGPT Image Aug 13, 2026, 09_28_19 PM.png	3e2708e0b0f9911a34196960d66e12da41baa1061961c3d10aa5dccd5b2c4775	Woven Basketry Quiver with Plaited Carry Strap	quiver	quickrig	batch_quiver	quilted	2	DEX	Stonewood	med	P	2	3	woven basketry quiver with plaited carry strap	empty quiver, no arrows or bow; coherent weave	accepted
pc2_056	ChatGPT Image Aug 13, 2026, 09_28_25 PM.png	d7630b9ae761ae9a49cd986b53947fccba4759d96386c462f1b087aeaf393dba	Wooden Spear with Lashed Knapped Stone Head	spear	weapon	batch_spear	flint	1	DEX	unclear	high	P	2	4	full-length wooden spear with lashed knapped stone head	full-length polearm reads; simple coherent T1 construction	accepted
pc2_057	ChatGPT Image Aug 13, 2026, 09_28_35 PM.png	4119ab079133559a69c275c606f8e74f907b796debdafd6cae2a8053324c44a7	Large Knapped Dark Stone Knife, Carved Wood Handle	dagger	weapon	batch_dagger	flint	1	DEX	Stonewood	med	P	1	2	large knapped dark stone knife, carved wood handle	coherent flint/wood/cord hierarchy, readable silhouette	accepted
pc2_058	ChatGPT Image Aug 13, 2026, 10_09_28 PM.png	83fd6d69a84800699632f7ef8c04f73a00ed9c0e1405ae55239609da264ff4cd	Green Wool Cloak, Woven Chevron Borders, Bronze Clasp	outer_layer	cloak	batch_outer	bronze	3	DEX+INT	North	high	P	2	3	green wool cloak, woven chevron borders, bronze clasp	North border language; ornate but within faction idiom	accepted
pc2_060	ChatGPT Image Aug 13, 2026, 10_09_46 PM.png	e6467feeb6a80aa42a4559189bba3dd603c32216723c790761c37b0d7c7c5061	Carved Wooden Paddle Club with Knapped Obsidian Edge	sword	weapon	batch_sword	jade	4	STR+DEX	Stonewood	high	P	1	3	carved wooden paddle club with knapped obsidian edge	macuahuitl-like Stonewood blade, coherent materials, clean silhouette	accepted
pc2_061	ChatGPT Image Aug 13, 2026, 10_09_54 PM.png	3e49cb737a147f6263e231dfbfaa93f891321d4c75084495cc9daeee709e91ce	Obsidian Dagger, Carved Bird-head Wooden Hilt, Jade Eye	dagger	weapon	batch_dagger	jade	4	DEX	Stonewood	high	P	1	2	obsidian dagger, carved bird-head wooden hilt, jade eye	clean single item, coherent obsidian-on-wood hierarchy, readable at small size	accepted
pc2_064	ChatGPT Image Aug 13, 2026, 10_10_15 PM.png	8879f7299132593c6992e698f3a8ad60fb4eb9ef54594f87c6d513e8e78ed88e	Strapped Leather Ankle Moccasin Boots	boots_footwear	boots	batch_boots	bronze	3	DEX	Dustwind	med	S	2	2	pair of strapped leather ankle moccasin boots	proper pair, hand-stitched pre-ancient construction, bronze buckle plausible	accepted
pc2_068	ChatGPT Image Aug 13, 2026, 10_13_11 PM.png	1eb423bc0bd098c6a70642907cee633be4ef26dcc3c06e5bc17e7d55baaba19d	Greenstone Bead Collar with Carved Gold Pendant	amulet	amulet	batch_amulet	jade	4	INT	Stonewood	high	S	1	1	greenstone bead collar with carved gold pendant	coherent jade-and-gold ritual collar, ornate but clean high-tier read	accepted
pc2_069	ChatGPT Image Aug 13, 2026, 10_18_09 PM.png	65c592169d71fc6fd32c072523b79a9b3fdba706c8cd3eb299a11530b05a0976	Quilted Wrap Tunic Armor with Stepped-fret Borders	body_armor	body	batch_body	bronze	3	DEX	Stonewood	med	P	2	3	quilted wrap tunic armor with stepped-fret borders	ichcahuipilli-like quilted armor, coherent textile construction, single garment	accepted
pc2_070	ChatGPT Image Aug 13, 2026, 10_21_06 PM.png	9760ff3ee8b443585066325c33e6b0970ebba2c69b62af4baecc4c6f8a3341ba	Woven Cloak with Banded Geometric and Formline Panels	outer_layer	cloak	batch_outer	bronze	3	DEX+INT	Stonewood	med	P	2	3	woven cloak with banded geometric and formline panels	coherent Tlingit-style weave, single garment, toggle clasp plausible	accepted
pc2_072	ChatGPT Image Aug 13, 2026, 10_21_33 PM.png	7f54cbada2f193e97ea1ed9c68bcfa82a65699a5a93651551bf68afcf0c87aac	Laced Wooden Slat Cuirass, Woven Borders, Gold Plaques	body_armor	body	batch_body	jade	4	STR+DEX	Stonewood	med	P	2	3	laced wooden slat cuirass, woven borders, gold plaques	slat-and-cord armor coherent, gold accents read T4	accepted
pc2_076	ChatGPT Image Aug 13, 2026, 10_37_19 PM.png	b49beb1a5de55a00e746a8928a15ced23da8073098b6d2170d1843be2b4084d8	Carved Jade Pendant On Knotted Cord with Turquoise Beads	amulet	amulet	batch_amulet	jade	4	INT	Stonewood	high	S	1	1	Carved jade pendant on knotted cord with turquoise beads	Clean single item, coherent carved greenstone, no gate failures	accepted
pc2_077	ChatGPT Image Aug 13, 2026, 10_37_26 PM.png	b458196f359b7a29c3ac6f3dd418f3325b9180c21f32defb89ce807ccb9f747d	Wooden Spear with Knapped Dark Stone Point	spear	weapon	batch_spear	flint	1	STR+DEX	unclear	med	P	2	4	Full-length wooden spear with knapped dark stone point	Full-length polearm silhouette, coherent T1 scavenged materials	accepted
pc2_078	ChatGPT Image Aug 13, 2026, 10_37_34 PM.png	d4b2595a144fa355c0779bd06b6e82d1a64fa3b1acab1053b733fb9cc53aedb1	Wooden Club with Knapped Obsidian Teeth Along One Edge	impact	weapon	batch_impact	jade	4	STR	Stonewood	med	P	1	3	Wooden club with knapped obsidian teeth along one edge	Valid macuahuitl-like Stonewood club; obsidian used as cutting edge only	accepted
pc2_079	ChatGPT Image Aug 13, 2026, 10_37_44 PM.png	9828c5aaadc18df1361ead7b57ac86ead60948fbdee2bbe31d74525dd5ecc028	Striped Red-blue Woven Textile Vest with Side Lacing	body_armor	body	batch_body	quilted	2	DEX	unclear	low	P	2	3	Striped red-blue woven textile vest with side lacing	Clean single garment, hand-laced pre-ancient construction; faction signals mixed	accepted
pc2_080	ChatGPT Image Aug 13, 2026, 10_37_51 PM.png	077c04b79150d98594e60c3c7a9d7eb591e64cf185fb331a5df79f3ac7b1a3bb	Long Indigo and Red Wool Cape with Stepped Border	outer_layer	cloak	batch_outer	quilted	2	DEX	Dustwind	low	P	2	3	Long indigo and red wool cape with stepped border	Coherent woven travel cloak; no shingle, spiral, or solar motifs	accepted
pc2_082	ChatGPT Image Aug 13, 2026, 10_50_51 PM.png	040bf18c366bc21ae94dc84cd3059cade307bda25efec5f532bd4a1efaa7470e	Jaguar-skull Hide Helmet with Red-black Feather Crest	helmet	head	batch_helmet	jade	4	INT+STR	Stonewood	high	S	2	2	Jaguar-skull hide helmet with red-black feather crest	Coherent Stonewood ritual helmet; ornate but deliberate high-tier read	accepted
pc2_084	ChatGPT Image Aug 13, 2026, 10_51_04 PM.png	b471346ccd5ddbbbe92eaec97b7e5ea0d723f4cf95e2ef28daf89b96771d86b9	Hide and Fur Boots with Red Embroidered Panels	boots_footwear	boots	batch_boots	quilted	2	DEX	Dustwind	high	S	2	2	Pair of hide and fur boots with red embroidered panels	Proper pair, steppe hide construction, hand-stitched, no modern seams	accepted
pc2_086	ChatGPT Image Aug 13, 2026, 10_51_32 PM.png	921d0fe137072d0d4ff8967bfb0a8e5607c8a54742e62c30e5ea420af7e4ea83	Stone-headed Maul with Bronze Bands and Carved Handle	impact	weapon	batch_impact	bronze	3	STR	Stonewood	med	P	1	3	Stone-headed maul with bronze bands and carved handle	Readable hammer, coherent stone-wood-bronze material hierarchy	accepted
pc2_087	ChatGPT Image Aug 13, 2026, 11_06_20 PM.png	1f0b93ea9d32f954af796ff2f34850a4ed2f3e35b9bdb73f1f20becc2ebf9951	Plain Coarse Woven Fiber Vest with Rope Waist Cord	body_armor	body	batch_body	hide	1	DEX	Stonewood	low	P	2	3	Plain coarse woven fiber vest with rope waist cord	Clean T1 fiber armor, whipstitched edges, no gate failures	accepted
pc2_088	ChatGPT Image Aug 13, 2026, 11_06_29 PM.png	f2f75216fa1391e75cd0791b35eb87ade16f1ba3b0452c51afdcc47939de49e8	Undyed Wool Cape with Ochre Border Stripes and Fringe	outer_layer	cloak	batch_outer	hide	1	DEX	North	med	P	2	3	Undyed wool cape with ochre border stripes and fringe	Plain pale wool cloak, coherent, light wear only	accepted
pc2_089	ChatGPT Image Aug 13, 2026, 11_06_35 PM.png	3105aff642baddc32a7201ec6ae463cc63aa0810a20f7cdd9f77d401e6727d1b	Oval Hide Shield, Lashed Wood Rim, Red Painted Stripes	shield	shield	batch_shield	hide	1	DEX	Dustwind	low	P	2	3	oval hide shield, lashed wood rim, red painted stripes	clean front face, coherent hide/wood/cord build, light wear only	accepted
pc2_090	ChatGPT Image Aug 13, 2026, 11_06_41 PM.png	062a400e874bc624ecbc673e7021a0e680a12606d5801bf9b179cff37920648b	Wooden Club with Lashed Stone Teeth Along Edge	impact	weapon	batch_impact	bone	1	STR	Stonewood	med	P	1	3	wooden club with lashed stone teeth along edge	serrated wood club language, valid stone-on-wood hafting, readable silhouette	accepted
pc2_091	ChatGPT Image Aug 13, 2026, 11_06_47 PM.png	4f91a0282121a55d1fbb10d9552324c4bdb1ded2fb8833e55d67a234dd802030	Knapped Dark Stone Dagger, Bone Handle, Cord Wrap	dagger	weapon	batch_dagger	bone	1	DEX	unclear	med	P	1	2	knapped dark stone dagger, bone handle, cord wrap	coherent flint/bone/cord hierarchy, clean isolated item	accepted
pc2_093	ChatGPT Image Aug 13, 2026, 11_07_01 PM.png	9d2d48d3a0263d2a3eb336cf259cf4fb367e8274a1d2a35930c6032fdd8d7b6a	Hand-stitched Leather Moccasin Shoes	boots_footwear	boots	batch_boots	quilted	2	DEX	Dustwind	low	S	2	2	pair of hand-stitched leather moccasin shoes	proper pair, whip-stitch hide construction, no modern shoe features	accepted
pc2_099	ChatGPT Image Aug 13, 2026, 11_16_40 PM.png	3d6173c5eb35f371f0c9914a8897be48e7288abd830bf95f66b1bbe95c15fb13	Pair Fur Mittens, Leopard Cuffs, Gold Leaf Plaques	gloves_hands	hands	batch_gloves	jade	4	STR	unclear	low	S	2	2	pair fur mittens, leopard cuffs, gold leaf plaques	proper mitten pair, period-plausible, coherent materials, plant motif safe	accepted
pc2_101	ChatGPT Image Aug 13, 2026, 11_16_56 PM.png	9118bd8ce9ab237f4337072ddef6f630f48db16d125c49f435a79baa0071367d	Polished Greenstone Axe, Carved Haft, Cord Lashing, Gold Band	axe	weapon	batch_axe	jade	4	STR	Stonewood	med	P	1	3	polished greenstone axe, carved haft, cord lashing, gold band	valid jade blade with protected hafting, coherent exotic tier	accepted
pc2_102	ChatGPT Image Aug 13, 2026, 11_17_04 PM.png	d003d2ace05a854d9672b3d176e701139acf6652472cdc850071171cc1893fec	Knapped Obsidian Dagger, Carved Wood Handle, Gold Collar	dagger	weapon	batch_dagger	jade	4	DEX	Stonewood	med	P	1	2	knapped obsidian dagger, carved wood handle, gold collar	obsidian as cutting edge is valid, coherent build, clean read	accepted
pc2_103	ChatGPT Image Aug 13, 2026, 11_25_55 PM.png	dc5718c92564db2a8d3b32e5cc71eb785c1e6a2d5723d69750e8d7bc070e842f	Finely Woven Plant-fiber Cloak, Jade Ring Toggle	outer_layer	cloak	batch_outer	jade	4	DEX	Stonewood	high	P	2	3	finely woven plant-fiber cloak, jade ring toggle	woven fiber plus greenstone toggle squarely Stonewood, triangle borders safe	accepted
pc2_105	ChatGPT Image Aug 13, 2026, 11_26_14 PM.png	ad3943556afcc76a19feb7b68ee69ae9f7819e163dafa7706db87d6250d3493d	Hide Moccasin Shoes, Fur Trim, Green Beads	boots_footwear	boots	batch_boots	quilted	2	DEX	Stonewood	low	S	2	2	Pair of hide moccasin shoes, fur trim, green beads	Clean pair, hand-stitched hide construction, no modern seams; green beads lean Stonewood	accepted
pc2_106	ChatGPT Image Aug 13, 2026, 11_26_26 PM.png	bf1122f4818f1eca9af7dbb728d6acc05934149993bc427343054a9738f32251	Knapped Obsidian Dagger, Cord-wrapped Wood Handle, Jade Pommel Inset	dagger	weapon	batch_dagger	jade	4	DEX	Stonewood	high	P	1	2	Knapped obsidian dagger, cord-wrapped wood handle, jade pommel inset	Obsidian as cutting edge is valid hierarchy; strong silhouette, clear faction read	accepted
pc2_108	ChatGPT Image Aug 13, 2026, 11_51_50 PM.png	2525284ab428a6bdb0a712965062e33ce629641f53f229038a2ee20efdd53ebe	Laced Leather Ankle Shoes, Cross-wrapped Thongs	boots_footwear	boots	batch_boots	quilted	2	DEX	North	low	S	2	2	Pair of laced leather ankle shoes, cross-wrapped thongs	Hand-sewn turnshoe construction, pair present; small bronze studs acceptable, no modern eyelets	accepted
pc2_109	ChatGPT Image Aug 13, 2026, 11_52_12 PM.png	70a9e7540cbb65df233dcd3c6e189cb38d6c956d2312aa06bd48b3302bb91912	Dark Wood Club with Bronze Bands and Domed Cap	impact	weapon	batch_impact	bronze	3	STR	North	low	P	1	3	Dark wood club with bronze bands and domed cap	Substantial club-mace with simple bronze fittings, historically plausible; not a toy baton read	accepted
pc2_110	ChatGPT Image Aug 13, 2026, 11_52_22 PM.png	1609da11f29528dc9aefeb01e4f4e953137e3627bc6295306a55cdc03ac83d49	Open Bronze Torc with Decorated Terminals	amulet	amulet	batch_amulet	bronze	3	STR	North	med	S	1	1	Open bronze torc with decorated terminals	Valid pre-ancient neck ring, coherent single item, geometric not solar decoration	accepted
pc2_113	ChatGPT Image Aug 14, 2026, 08_45_32 PM.png	332b6cabad5dcd37d2b8442a5b357708a1671b2a5986142d1baddf5ab3a9400c	Bronze Socketed Leaf Spearhead On Full Wooden Shaft	spear	weapon	batch_spear	bronze	3	STR+DEX	unclear	low	P	2	4	Bronze socketed leaf spearhead on full wooden shaft	Full-length polearm read, clean socket and cord binding, no gate failures	accepted
pc2_114	ChatGPT Image Aug 14, 2026, 08_45_42 PM.png	bd315935d2f99457c31fcac3c01b836a8142c9ea2171d680d8174283d0430659	Socketed Bronze Axe, Dark Wood Haft, Bronze Butt Cap	axe	weapon	batch_axe	bronze	3	STR	North	med	P	1	3	Socketed bronze axe, dark wood haft, bronze butt cap	Plausible bronze construction, readable silhouette; polished bronze leans North	accepted
pc2_115	ChatGPT Image Aug 14, 2026, 08_45_49 PM.png	0d75e0f533b68d7a8e9b0dfaf3d53aea741d3c874a39cc9a6d250ae2b666794e	Bronze Leaf-blade Dirk, Fluted Midribs, Wood Grip	dagger	weapon	batch_dagger	bronze	3	DEX	North	med	P	1	2	Bronze leaf-blade dirk, fluted midribs, wood grip	Classic Bronze Age dirk form, coherent materials, strong icon read	accepted
pc2_116	ChatGPT Image Aug 14, 2026, 08_45_57 PM.png	0cf01f50e2a92b7b173a5bf65df7f519e0213df2c8805f4c0ccf8d097722c0aa	Soft Wrinkled Hide Wrap Boots with Thongs	boots_footwear	boots	batch_boots	quilted	2	DEX	Dustwind	low	S	2	2	Pair of soft wrinkled hide wrap boots with thongs	Simple gathered-hide pair, fully pre-ancient construction; plain hide leans Dustwind	accepted
pc2_118	ChatGPT Image Aug 14, 2026, 08_51_22 PM.png	9252ed0e356125799edd5491e87d53ccf01cb42bb8a4019471aa91cb9bc1975b	Red and Cream Striped Woven Wool Tunic	body_armor	body	batch_body	quilted	2	DEX	North	med	P	2	3	Red and cream striped woven wool tunic	Single garment not full outfit; hand-hemmed weave, crimson on pale wool fits North	accepted
pc2_119	ChatGPT Image Aug 14, 2026, 08_51_31 PM.png	b7865d854408b620dc45fe881c8f6666622ce80c1c7ce5c0390fec293e46f798	Curved Single-edge Knife, Wood Handle, Dark Iron Blade	dagger	weapon	batch_dagger	skymetal	5	DEX	unclear	med	P	1	2	curved single-edge knife, wood handle, dark iron blade	clean silhouette, valid materials, dark-iron blade reads T5 skymetal	accepted
pc2_120	ChatGPT Image Aug 14, 2026, 08_51_44 PM.png	c858f69368d2afc593e24a5557464f43a8ff02785875fa92d379d19c41df1b76	Laced Leather Ankle Moccasins	boots_footwear	boots	batch_boots	quilted	2	DEX	Dustwind	low	S	2	2	pair of laced leather ankle moccasins	proper pair, hand-stitched turnshoe construction, no modern seams	accepted
pc2_122	ChatGPT Image Aug 14, 2026, 08_56_55 PM.png	7207d3cc3760f39766b3c00ed4d5e52470f79bb8882ad243f34818bfe52a6ce2	Fur-lined Stitched Hide Hood	helmet	head	batch_helmet	quilted	2	DEX	North	low	S	2	2	fur-lined stitched hide hood	single coherent hide item, hand cross-stitching, valid materials	accepted
pc2_123	ChatGPT Image Aug 14, 2026, 08_57_04 PM.png	17ce89b0de4107508f5665f64fdd19a032fd72f5b50337cee25a794ed63cffc3	Fur-trimmed Wool Cloak with Metal Clasp	outer_layer	cloak	batch_outer	bronze	3	STR	North	med	P	2	3	fur-trimmed wool cloak with metal clasp	coherent wool/fur/bronze hierarchy, clasp small not solar-dominant	accepted
pc2_126	ChatGPT Image Aug 14, 2026, 08_57_47 PM.png	49b5b96b4cba52f4cba7001621aecb16c79bee98f6fd2d34900fdc4bdd47321f	Bronze Penannular Cloak Brooch with Pin	amulet	amulet	batch_amulet	bronze	3	DEX	North	med	S	1	1	bronze penannular cloak brooch with pin	valid Iron Age fibula, chevron incisions, no spiral or solar motif	accepted
